review_title,review_description,rating
Mind-blowing purchase,"One of the best mid-range flagship smartphone. Pros : -1. Wonderful display quality with tiny punch hole f. camera.2. Very good quality super amoled display with upto 1200 nits high brightness.3. 120 Hz refresh rate is working very smooth like butter.4. Snapdragon 732G gaming processor is working very fast.5. Excellent camera. Macro is working very well. Very neat focusing and clear display. It even captures tiny dust particles! Also various features are given like Long exposure, slo-mo...",5
Great product,"Everything is awesome. I loved the camera most which had enhanced a lot, night mode is also nice check the i uploaded which was captured in moon light. Simply, it made justice for the price♥️ . #milove",5
Best in the market!,Faced Fast charging issue. Time advertised by company is 1:15 hrs. But it taking about 1:45 hrs and it have 33W fast charger.. That is totally disappointing think.Other wise this is a best mobile for this price. Camera is good. Gaming is also good,5
Terrific,"Best phone in this range, just love it. Long battery bare always provided by redmi so no issue's about it. I play pubj and freefire on this no heating issues. Camera is superb as well seems like  real person. Thank you redmi for this and Flipkart you are ???",5
Excellent,"Amazing product in this prize range. Nice camera, with good quality. Nice performance,",5
Great product,Its midflagship and looks premium in every way ...the colour which I bought glacial blue is perf3ct so I can picture the rest colours too ...well I love the camera which is the reason I bought it for ..captures image and competes with iPhones and other flagship phones ...performance is smooth ..and idk about games cuz I dnt play any in this phone ..but its quite good they say ...altogether stylish ..premium and value for money ..,5
Classy product,Bought this phone for my aunt after using the same one for a week.... Absolutely great display of 120hz refresh rate..... 108MP camera is super cool. Love Mi Love Flipkart,5
Mind-blowing purchase,"Yah it's a very good value for money All rounder phone. Good Camera quality, Display is awesome with 120hz Super Amoled Display🤩Processor Decent consider with prize and other spefication. MIUI also stable no lack issue... Gaming performance good no over heating issue... Battery awesome Overall a perfect phone from Redmi (Xiaomi)",5
Awesome,"M writting this reveiw after 10 days of use, I Personally give 5 out of 4.5 star becaause of its 16 MP and OIS support front camera as well back camera, other wise Phone performance, Durability, Battery Backup, all are perfect, no heating issue found in this cell after playing high graphics game like Pub G, calls of duty etc..... Go for it guys this phone is truely value for money in 20k range of 2k21 from Xiomi Company....",5
Simply awesome,"Great phone with an amazing display. It is almost similar to the extraordinary samsung displays. Battery is really great as usual xiaomi phones. Eventhough the sensor is 108mp, camera is not good enough. If you want a solid camera performance, then just stay away from this. HDR, portrait, night mode, and everything related to camera will give you a bad experience. Selfie camera is also bad. I don't care about camera, so camera is not at all a problem for me. Apart from these cameras, everythi...",5
Wonderful,Beautiful camera,5
Classy product,"Worth for money, picture clarity is fabulous",5
Wonderful,Nice 😊😊😊😊,5
Wonderful,Super camera clarity✌👌👌👌,5
Awesome,Excellent camera results,5
Just wow!,Super mobile,5
Worth every penny,Good Mobile 🔥🔥,5
Must buy!,😍🥰Camera quality is good ... 😍,5
Mind-blowing purchase,The Best Phone i ever used till now..I strongly recommend to buy this Redmi note 10 Pro max.,5
Highly recommended,Very nice mobile in this price range..,5
Terrific purchase,Really good,5
Highly recommended,Very good👍 ✌🔥🔥🔥🔥,5
Just wow!,"It is a good product . Prize worthy.delivery was excellent.cam,storage,sound,display,gaming and battery all are good.switching option is very helpful don't need to install extra app for that.",5
Simply awesome,Received a proper package ..fully sealed box.. Good phone as of the Price.. Don't be worried or puzzled.. Get it,5
Super!,Good,5
Awesome,Really loved it💙,5
Excellent,Excellent,5
Mind-blowing purchase,Awesome product,5
Wonderful,Already perfect,5
Terrific,Superb quality camera is superb ❤️,5
Terrific purchase,Awesome,5
Awesome,Nice one,5
Classy product,Superb,5
Excellent,Must better than realme phone,5
Terrific,Good product,5
Brilliant,Good products,5
Worth every penny,Camera is best amazing quality,5
Perfect product!,Good product camera quality awesome fast delivery thank you flipcart...,5
Must buy!,This mobileisvery very good,5
Just wow!,Very nice and camera image good I happyBettry life very good,5
Highly recommended,I like it Thank 🙏💕you,5
Perfect product!,"One week used, exp... Good phone... Good performance, Good sound🔊 qualityBattery is OK. . 1 days... Camera performance is good But colors🎨 high",5
Terrific purchase,I love this phone,5
Simply awesome,Good to purchase,5
Highly recommended,I love camera of this phone😇📱,5
Must buy!,Best Camera Quality and battery BackupAnd Features,5
Highly recommended,"Worth it, value for money 👌",5
Must buy!,Excellent phone,5
Must buy!,Good👍 camera,5
Terrific,Everything is awesome...... Just go for it...... You will fall in love with it...,5
Terrible product,Excellent Handset plus value For Money standard camera quality Photos given below,1
Terrible product,Not recommended to buy because the battery gets heated very fast,1
Very poor,Worst camera ....,1
Worst experience ever!,Bad mobileNot working tuchHang camara Pls don't by thi product,1
Very poor,Not happy with the mobile. CAMERA quality is very poor ...... Please check with anyone those who are using same mobile before buying.,1
Worst experience ever!,Please don't buy it . Full of complaint . Waste if money 😥😥,1
Not recommended at all,Getting heated even after using social media not gaming.. horrible,1
Don't waste your money,Performance not ok mobile hang in display,1
Did not meet expectations,Battery drain very fast don't buy phone,1
Absolute rubbish!,If you are a camera lover than never buy this. Both Camera is waste..not like 108 mega pixel,1
Very poor,Bad,1
Worthless,Flipkart very poor mobiles no purchase Flipkart thank you,1
Utterly Disappointed,Because not in 8gb ram,1
Horrible,Battery  no bakap,1
Very poor,Charging is extremely slow ...takes 3 hours for complete charge,1
Not recommended at all,"Camera is not as expected, as 108mp, Don't buy for 108MP...very bad",1
Utterly Disappointed,Poor performance..blurry camera and lag in focus,1
Not recommended at all,I suggest not buy this product,1
Horrible,Worst phone.....if minus rating is there I would give it.flipkart is even not responding at all.worst customer service from Flipkart.,1
Waste of money!,dont but buy this guys the phone has frizing and hanging problem also they dont help they will not replace the phone so dont buy this,1
Absolute rubbish!,I HAVE ORDER VINTAGE BROWN BUT RECEIVED BLACK COLOR,1
Worthless,Phone stopped working after 2 weeks of use. On visiting service center they say it will take 3-4 days to change the OS. What is the use of buying something expensive and it doesnt even work after a week. Would have rated 0 stars if possible. Worst possible quality of product,1
Did not meet expectations,Phone performance is not good. Camera doesn't open when video call starting. Some application does not open it will take time to open,1
Did not meet expectations,Display touch is not working smoothly,1
Not recommended at all,Very bed,1
Hated it!,Phone is going on Hold everything something wrong in the phone,1
Waste of money!,Fonts are not working properly,1
Don't waste your money,Overhiting cemra quality is very bad refund my device,1
Unsatisfactory,Worst phone and worst night mode. Pix get so daark,1
Very poor,worst product,1
Waste of money!,Battery capacity is very low. Lossing suddendly when it is in not working mode  it is affecting very badly and couldn't  get enough charge in a time.,1
Horrible,Waste of money ...pls dnt buy any flipcart products .Its fraud,1
Very poor,Camera quality is very low,1
Unsatisfactory,"Touch screen not working properly, some time the screen doesn't move when I move the screen, it's a wrong item. Waste of money",1
Horrible,Very worst do not buy,1
Not recommended at all,Average Performance of battery,1
Waste of money!,Mobile phone is getting hot since day one...very disappointed,1
Absolute rubbish!,Camera is note nice bad camera,1
Absolute rubbish!,As per camera review I give 1 star overall don't buy this phone in this range,1
Useless product,Sounds Problem,1
Useless product,Not good camera,1
Hated it!,Worst camera in for indoor pics.Nothing special..Most overrated..Waste of money.,1
Unsatisfactory,Batery damage,1
Very poor,Proximity sensors are very bad quality in this phone,1
Useless product,Camera not as per our expectations,1
Utterly Disappointed,108 camera not ok,1
Worthless,It's just a stupid phone.,1
Utterly Disappointed,Pop up message is flashing in every 2 minute showing playing tone..Issue is still there even after the two updation..Phone is hanging frequently..camera is not good as expected..really dissapointed with the camera quality..Battery is not that good either..10 pro max was purchased for my spouse as a surprise gift and she totally hate the product due to the above reasons..Was misleaded by the you tube reviews..Really f**k*d...,1
Don't waste your money,Very bad product,1
Utterly Disappointed,Bad,1
Mind-blowing purchase,"One of the best mid-range flagship smartphone. Pros : -1. Wonderful display quality with tiny punch hole f. camera.2. Very good quality super amoled display with upto 1200 nits high brightness.3. 120 Hz refresh rate is working very smooth like butter.4. Snapdragon 732G gaming processor is working very fast.5. Excellent camera. Macro is working very well. Very neat focusing and clear display. It even captures tiny dust particles! Also various features are given like Long exposure, slo-mo...",5
Nice product,"Reviewing after 1 week of usage.. Read before buying, hope you would find it useful....Literally feels pretty smooth (refresh rate of 120 hz has to be set manually). Gaming experience is quite well (COD & 8 ball pool). Camera- outdoor and indoor during day time is very good but it shows a lot of noise on output of nightmode cam, rest of its feature working quite well except that 108mp doesn't really feels that much. Look wise it's too good, but feels heavy even with the provided back cover. ...",4
Great product,"Everything is awesome. I loved the camera most which had enhanced a lot, night mode is also nice check the i uploaded which was captured in moon light. Simply, it made justice for the price♥️ . #milove",5
Best in the market!,Faced Fast charging issue. Time advertised by company is 1:15 hrs. But it taking about 1:45 hrs and it have 33W fast charger.. That is totally disappointing think.Other wise this is a best mobile for this price. Camera is good. Gaming is also good,5
Worth the money,"108 Megapixel camera performance is crisp in daylight, macro camera is awesome, best in class. Though battery perfomance could be better without bloatware... i'll advise you to remove them with ”adb”. Use some other launcher MIUI 12 is not that great. wifi and carrier performance is average but not painful.Availability of dedicated microsd card slot and super Amoled screen wins against other brands, if you are unable to decide between samsung and this one, i'll suggest you to go with Note 10...",4
Terrific,"Best phone in this range, just love it. Long battery bare always provided by redmi so no issue's about it. I play pubj and freefire on this no heating issues. Camera is superb as well seems like  real person. Thank you redmi for this and Flipkart you are ???",5
Value-for-money,"Packaged and delivered properly. Job done great by Flipkart. The phone has the regular complaints like earpiece sensor malfunctioning and lots of ads. Typical of a redmi handset. Other than that, overall the phones good. Even though redmi note 10 pro is more than enough for normal use and you don't need to go for 10 pro max unless you REALLY need the 108mp camera sensor (which is actually just a bit more better than a 64mp camera sensor). Coz everything else is exactly the same in the 2 hands...",4
Excellent,"Amazing product in this prize range. Nice camera, with good quality. Nice performance,",5
Good,The phone is very good.But the charger of the phone doesn't work it starts fluctuation .Then I changed the cable with a another adapter. It works . If I change the adapter with another cable. same problem it starts fluctuating. The cable is fine but the adapter is not working. Please change my charger or the adapterThank you,3
Great product,Its midflagship and looks premium in every way ...the colour which I bought glacial blue is perf3ct so I can picture the rest colours too ...well I love the camera which is the reason I bought it for ..captures image and competes with iPhones and other flagship phones ...performance is smooth ..and idk about games cuz I dnt play any in this phone ..but its quite good they say ...altogether stylish ..premium and value for money ..,5
Classy product,Bought this phone for my aunt after using the same one for a week.... Absolutely great display of 120hz refresh rate..... 108MP camera is super cool. Love Mi Love Flipkart,5
Mind-blowing purchase,"Yah it's a very good value for money All rounder phone. Good Camera quality, Display is awesome with 120hz Super Amoled Display🤩Processor Decent consider with prize and other spefication. MIUI also stable no lack issue... Gaming performance good no over heating issue... Battery awesome Overall a perfect phone from Redmi (Xiaomi)",5
Good,"I received this mobile on 30july and now 3 months running I am using this mobile. So, 1) Firstly back camera is not up to the mark it can be improve better but yes back camera have so manu features by using that features we can click photos of environment or any other object properly outcome is awsome. But through back camera human photos doesn't come too good. 2) Now let's talk about front camera I am loving it because I use the beautify feature of the front camera and outcome is beautifu...",3
Awesome,"M writting this reveiw after 10 days of use, I Personally give 5 out of 4.5 star becaause of its 16 MP and OIS support front camera as well back camera, other wise Phone performance, Durability, Battery Backup, all are perfect, no heating issue found in this cell after playing high graphics game like Pub G, calls of duty etc..... Go for it guys this phone is truely value for money in 20k range of 2k21 from Xiomi Company....",5
Simply awesome,"Great phone with an amazing display. It is almost similar to the extraordinary samsung displays. Battery is really great as usual xiaomi phones. Eventhough the sensor is 108mp, camera is not good enough. If you want a solid camera performance, then just stay away from this. HDR, portrait, night mode, and everything related to camera will give you a bad experience. Selfie camera is also bad. I don't care about camera, so camera is not at all a problem for me. Apart from these cameras, everythi...",5
Wonderful,Beautiful camera,5
Decent product,Mobile best don't buy it from flipkart price tooo high,3
Classy product,"Worth for money, picture clarity is fabulous",5
Wonderful,Nice 😊😊😊😊,5
Wonderful,Super camera clarity✌👌👌👌,5
Awesome,Excellent camera results,5
Nice product,Value for money,4
Very Good,Camera is superb ..,4
Just wow!,Super mobile,5
Worth every penny,Good Mobile 🔥🔥,5
Must buy!,😍🥰Camera quality is good ... 😍,5
Mind-blowing purchase,The Best Phone i ever used till now..I strongly recommend to buy this Redmi note 10 Pro max.,5
Highly recommended,Very nice mobile in this price range..,5
Terrific purchase,Really good,5
Highly recommended,Very good👍 ✌🔥🔥🔥🔥,5
Just wow!,"It is a good product . Prize worthy.delivery was excellent.cam,storage,sound,display,gaming and battery all are good.switching option is very helpful don't need to install extra app for that.",5
Wonderful,I'm happy. Getting such a better phn☺🥰,4
Simply awesome,Received a proper package ..fully sealed box.. Good phone as of the Price.. Don't be worried or puzzled.. Get it,5
Super!,Good,5
Awesome,Really loved it💙,5
Excellent,Excellent,5
Mind-blowing purchase,Awesome product,5
Wonderful,Already perfect,5
Terrific,Superb quality camera is superb ❤️,5
Terrific purchase,Awesome,5
Really Nice,"Not the best, but good",4
Decent product,Good,3
Awesome,Nice one,5
Classy product,Superb,5
Nice product,I love it🥰Amazing phone😘,4
Excellent,Must better than realme phone,5
Terrific,Good product,5
Brilliant,Good products,5
Worth every penny,Camera is best amazing quality,5
Perfect product!,Good product camera quality awesome fast delivery thank you flipcart...,5
Mind-blowing purchase,"One of the best mid-range flagship smartphone. Pros : -1. Wonderful display quality with tiny punch hole f. camera.2. Very good quality super amoled display with upto 1200 nits high brightness.3. 120 Hz refresh rate is working very smooth like butter.4. Snapdragon 732G gaming processor is working very fast.5. Excellent camera. Macro is working very well. Very neat focusing and clear display. It even captures tiny dust particles! Also various features are given like Long exposure, slo-mo...",5
Great product,"Everything is awesome. I loved the camera most which had enhanced a lot, night mode is also nice check the i uploaded which was captured in moon light. Simply, it made justice for the price♥️ . #milove",5
Best in the market!,Faced Fast charging issue. Time advertised by company is 1:15 hrs. But it taking about 1:45 hrs and it have 33W fast charger.. That is totally disappointing think.Other wise this is a best mobile for this price. Camera is good. Gaming is also good,5
Terrific,"Best phone in this range, just love it. Long battery bare always provided by redmi so no issue's about it. I play pubj and freefire on this no heating issues. Camera is superb as well seems like  real person. Thank you redmi for this and Flipkart you are ???",5
Excellent,"Amazing product in this prize range. Nice camera, with good quality. Nice performance,",5
Great product,Its midflagship and looks premium in every way ...the colour which I bought glacial blue is perf3ct so I can picture the rest colours too ...well I love the camera which is the reason I bought it for ..captures image and competes with iPhones and other flagship phones ...performance is smooth ..and idk about games cuz I dnt play any in this phone ..but its quite good they say ...altogether stylish ..premium and value for money ..,5
Classy product,Bought this phone for my aunt after using the same one for a week.... Absolutely great display of 120hz refresh rate..... 108MP camera is super cool. Love Mi Love Flipkart,5
Mind-blowing purchase,"Yah it's a very good value for money All rounder phone. Good Camera quality, Display is awesome with 120hz Super Amoled Display🤩Processor Decent consider with prize and other spefication. MIUI also stable no lack issue... Gaming performance good no over heating issue... Battery awesome Overall a perfect phone from Redmi (Xiaomi)",5
Awesome,"M writting this reveiw after 10 days of use, I Personally give 5 out of 4.5 star becaause of its 16 MP and OIS support front camera as well back camera, other wise Phone performance, Durability, Battery Backup, all are perfect, no heating issue found in this cell after playing high graphics game like Pub G, calls of duty etc..... Go for it guys this phone is truely value for money in 20k range of 2k21 from Xiomi Company....",5
Simply awesome,"Great phone with an amazing display. It is almost similar to the extraordinary samsung displays. Battery is really great as usual xiaomi phones. Eventhough the sensor is 108mp, camera is not good enough. If you want a solid camera performance, then just stay away from this. HDR, portrait, night mode, and everything related to camera will give you a bad experience. Selfie camera is also bad. I don't care about camera, so camera is not at all a problem for me. Apart from these cameras, everythi...",5
Wonderful,Beautiful camera,5
Classy product,"Worth for money, picture clarity is fabulous",5
Wonderful,Nice 😊😊😊😊,5
Wonderful,Super camera clarity✌👌👌👌,5
Awesome,Excellent camera results,5
Just wow!,Super mobile,5
Worth every penny,Good Mobile 🔥🔥,5
Must buy!,😍🥰Camera quality is good ... 😍,5
Mind-blowing purchase,The Best Phone i ever used till now..I strongly recommend to buy this Redmi note 10 Pro max.,5
Highly recommended,Very nice mobile in this price range..,5
Terrific purchase,Really good,5
Highly recommended,Very good👍 ✌🔥🔥🔥🔥,5
Just wow!,"It is a good product . Prize worthy.delivery was excellent.cam,storage,sound,display,gaming and battery all are good.switching option is very helpful don't need to install extra app for that.",5
Simply awesome,Received a proper package ..fully sealed box.. Good phone as of the Price.. Don't be worried or puzzled.. Get it,5
Super!,Good,5
Awesome,Really loved it💙,5
Excellent,Excellent,5
Mind-blowing purchase,Awesome product,5
Wonderful,Already perfect,5
Terrific,Superb quality camera is superb ❤️,5
